순위,팀,경기수,승점,승,무,패,득점,실점,득실차
1,맨체스터 시티,38,98,32,2,4,95,23,72
2,리버풀,38,97,30,7,1,89,22,67
3,첼시,38,72,21,9,8,63,39,24
4,토트넘,38,71,23,2,13,67,39,28
5,아스널,38,70,21,7,10,73,51,22
6,맨체스터 유나이티드,38,66,19,9,10,65,54,11
7,울버햄튼 원더러스 FC,38,57,16,9,13,47,46,1
8,에버턴 FC,38,54,15,9,14,54,46,8
9,레스터 시티 FC,38,52,15,7,16,51,48,3
10,웨스트햄 유나이티드 FC,38,52,15,7,16,52,55,-3
11,왓포드 FC,38,50,14,8,16,52,59,-7
12,크리스탈 팰리스 FC,38,49,14,7,17,51,53,-2
13,뉴캐슬 유나이티드 FC,38,45,12,9,17,42,48,-6
14,AFC 본머스,38,45,13,6,19,56,70,-14
15,번리 FC,38,40,11,7,20,45,68,-23
16,사우샘프턴 FC,38,39,9,12,17,45,65,-20
17,브라이튼 앤 호브 알비온 FC,38,36,9,9,20,35,60,-25
18,카디프 시티 FC,38,34,10,4,24,34,69,-35
19,풀럼 FC,38,26,7,5,26,34,81,-47
20,허더즈필드 타운 FC,38,16,3,7,28,22,76,-54
